S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
64,2022-02-03,155,STC,Salt Trading Corporation,6696.0000,6749.0000,6575.0000,6576.0000,3504,23208593.9000,6623.1000,13780.0000,4740.0000,2022-02-03T14:59:50.163622,6576.0000,131,6623.45,15156.56
65,2022-02-03,359,SRBL,Sunrise Bank Limited,290.0000,295.0000,287.2000,287.2000,42612,12396188.8000,289.9000,418.2000,250.0000,2022-02-03T14:59:39.050726,287.2000,231,290.90,29061.46
66,2022-02-03,592,NSLB,Naya Sarathi Laghubitta Bittiya Sanstha Limited,1500.0000,1500.0000,1455.0000,1459.1000,2398,3510424.8000,1485.0000,1987.9000,1026.1000,2022-02-03T14:59:33.277845,1459.1000,29,1463.89,3720.03
67,2022-02-03,694,KLBSL,Kisan Lagubitta Bittiya Sanstha Limited,1719.0000,1720.0000,1680.0000,1700.0000,1883,3190756.1000,1700.0000,2042.0000,1072.0000,2022-02-03T14:59:58.136371,1700.0000,45,1694.50,6677.75
68,2022-02-03,2771,SMB,Support Microfinance Bittiya Sanstha Ltd.,2033.0000,2114.0000,1990.1000,1990.1000,233,471991.0000,1994.6000,2900.0000,1619.0000,2022-02-03T14:23:25.730026,1990.1000,16,2025.71,1707.51
69,2022-02-03,2776,RADHI,Radhi Bidyut Company Ltd,740.6000,748.1000,717.0000,717.0000,101001,74647789.0000,726.1000,1340.0000,314.0000,2022-02-03T14:59:56.288646,717.0000,637,739.07,4634.72
70,2022-02-03,2779,NICGF,NIC Asia Growth Fund,12.2200,12.4600,12.2200,12.4000,19746,245060.4000,12.3500,18.1200,10.4300,2022-02-03T14:51:21.229856,12.4000,14,12.41,1035.65
71,2022-02-03,2806,GHL,Ghalemdi Hydro Limited,363.1000,370.0000,350.1000,350.1000,95438,34372592.9000,356.0000,555.9000,120.0000,2022-02-03T14:59:53.687660,350.1000,492,360.15,1925.55
72,2022-02-03,2832,ILBS,Infinity Laghubitta Bittiya Sanstha Limited,1395.0000,1451.0000,1395.0000,1416.0000,2503,3551441.6000,1423.0000,2140.0000,1304.0000,2022-02-03T14:59:18.085128,1416.0000,61,1418.87,5869.58
73,2022-02-03,2908,SGI,Sanima General Insurance Limited,675.0000,676.0000,658.1000,663.0000,10430,6932271.4000,671.0000,900.0000,474.0000,2022-02-03T14:59:52.881926,663.0000,298,664.64,6630.00
