S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION,Change,Up,Down,avg Up,avg Down,RS,RSI
205,2022-02-03,147,SHL,Soaltee Hotel Limited,226.1,228.0,223.2,224.0,22385,5060777.6,226.1,321.0,182.0,2022-02-03T14:59:34.496904,224.0,92,226.07,18873.79,-73.0,0.0,-73.0,254.88574792337243,-298.48399548077117,0.8539343877142405,46.060658531021495
206,2022-02-03,153,BPCL,Butwal Power Company Limited,463.0,473.0,460.0,460.7,54529,25331192.7,454.0,703.0,383.0,2022-02-03T14:59:51.223745,460.7,505,464.54,14956.61,236.7,236.7,0.0,252.28778393431915,-255.8434246978024,0.9861022781113757,49.650125725100125
207,2022-02-03,172,NABBC,Narayani Development Bank Limited,591.6,592.0,565.0,567.1,12124,6929421.6,580.0,1251.1,442.0,2022-02-03T14:57:58.786147,567.1,98,571.54,1488.45,106.40000000000003,106.40000000000003,0.0,231.44667194370152,-219.2943640266867,1.0554155049581482,51.34803656059986
208,2022-02-03,184,PRIN,Prabhu Insurance Ltd.,891.0,898.0,873.0,873.0,28383,25104771.2,889.9,1162.0,653.9,2022-02-03T14:59:56.636545,873.0,161,884.5,10143.41,305.9,305.9,0.0,242.0828616660301,-187.96659773715925,1.2879036200066976,56.29186512685912
209,2022-02-03,235,HDL,Himalayan Distillery Limited,4851.0,4860.0,4725.0,4732.0,14231,67838369.3,4765.0,7938.0,3879.0,2022-02-03T14:59:44.063018,4732.0,494,4766.94,71854.44,3859.0,3859.0,0.0,758.7853099994655,-161.11422663185022,4.709610851022534,82.48567150910276
210,2022-02-03,263,GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,510.0,511.0,485.5,500.0,27908,13933189.9,500.0,773.0,205.0,2022-02-03T14:59:58.902912,500.0,161,499.25,4752.0,-4232.0,0.0,-4232.0,650.3874085709684,-742.6693371130251,0.8757429128543481,46.68779004057203
211,2022-02-03,274,EDBL,Excel Development Bank Ltd.,584.0,590.5,562.7,563.6,17597,10065367.2,579.0,1195.0,383.0,2022-02-03T14:59:55.822711,563.6,178,571.99,6491.5,63.60000000000002,63.60000000000002,0.0,566.5606359179716,-636.5737175254485,0.8900157520174747,47.09038805985813
212,2022-02-03,559,NLG,NLG Insurance Company Ltd.,974.0,974.0,942.3,947.0,11719,11170878.3,955.0,1422.0,710.0,2022-02-03T14:59:51.875272,947.0,106,953.22,11420.94,383.4,383.4,0.0,540.3948307868325,-545.6346150218118,0.9903968991505976,49.75876417277628
213,2022-02-03,561,SINDU,Sindhu Bikash Bank Ltd,442.0,450.0,430.0,430.0,54921,24197844.6,434.0,618.0,177.0,2022-02-03T14:59:33.624518,430.0,296,440.59,2397.06,-517.0,0.0,-517.0,463.1955692458555,-541.5439557329815,0.8553240495850771,46.10105980011206
214,2022-02-03,583,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,1095.0,1120.0,1070.5,1070.5,25859,28036633.6,1100.0,1437.0,800.0,2022-02-03T14:59:50.470017,1070.5,221,1084.21,10517.66,640.5,640.5,0.0,488.52477363930495,-464.180533485412,1.0524456292277022,51.27763747991309
215,2022-02-03,587,RLFL,Reliance Finance Ltd.,530.0,530.0,510.7,511.0,43329,22522933.9,520.0,814.0,210.0,2022-02-03T14:59:27.983200,511.0,267,519.81,5380.86,-559.5,0.0,-559.5,418.7355202622608,-477.79760013035326,0.8763868218425981,46.70608488829572
216,2022-02-03,682,MMFDB,Mirmire Microfinance Development Bank Ltd.,1446.0,1446.0,1402.0,1415.0,7136,10156739.5,1418.0,2095.0,1318.2,2022-02-03T14:59:54.794786,1415.0,74,1423.3,7387.51,904.0,904.0,0.0,488.05901736765264,-409.54080011173085,1.1917225761987584,54.37378750122826
217,2022-02-03,697,API,Api Power Company Ltd.,562.0,575.0,553.0,557.0,928168,525018722.0,551.0,670.0,276.0,2022-02-03T14:59:58.548362,557.0,3924,565.65,15367.16,-858.0,0.0,-858.0,418.3363006008447,-473.6064000957697,0.8832995088669651,46.901701227457856
218,2022-02-03,2742,HIDCL,Hydorelectricity Investment and Development Company Ltd,360.0,366.0,350.0,350.0,681834,243735136.7,358.5,606.0,244.1,2022-02-03T14:59:57.075251,350.0,3470,357.46,83160.0,-207.0,0.0,-207.0,358.57397194358083,-435.51977151065955,0.8233242102874417,45.155118636725994
219,2022-02-03,2754,DHPL,Dibyashwori Hydropower Ltd.,331.5,338.1,323.0,323.0,58306,19282580.0,325.0,485.2,110.0,2022-02-03T14:59:31.903303,323.0,365,330.71,852.72,-27.0,0.0,-27.0,307.3491188087833,-377.1598041519937,0.8149042273999141,44.900673826043715
220,2022-02-03,2773,SAEF,Sanima Equity Fund,14.2,14.34,14.0,14.07,252848,3612739.0,13.94,20.19,11.99,2022-02-03T14:59:16.345731,14.07,34,14.28,1829.1,-308.93,0.0,-308.93,263.4421018360998,-367.41268927313735,0.7170196063649151,41.75954681629467
221,2022-02-03,2815,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,1363.1,1380.0,1353.0,1365.0,892,1219440.2,1390.0,1996.0,1160.0,2022-02-03T14:36:35.845162,1365.0,24,1367.08,2068.72,1350.93,1350.93,0.0,418.79751585951465,-314.9251622341175,1.3298318650961833,57.07844780641643
222,2022-02-03,2915,PLI,Prabhu Life Insurance Limited,643.0,655.7,633.0,639.9,15271,9859323.4,643.0,950.0,477.0,2022-02-03T14:59:59.000883,639.9,616,645.62,12798.0,-725.1,0.0,-725.1,358.96929930815526,-373.5215676292438,0.961040353269418,49.006658719040914
223,2022-02-03,4968,RMF1,RBB Mutual Fund 1,9.1,9.2,9.1,9.16,11570,105967.0,9.16,10.3,8.8,2022-02-03T14:39:57.093594,9.16,23,9.15,1145.0,-630.74,0.0,-630.74,307.68797083556154,-410.2670579679233,0.7499699643436109,42.85616208418263
224,2022-02-03,8031,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,455.0,466.0,451.0,451.0,74742,34322809.8,455.0,505.0,100.0,2022-02-03T14:59:56.937403,451.0,3896,459.21,27060.0,441.84,441.84,0.0,326.85254643048137,-351.6574782582198,0.9294628058228743,48.172102774817596
