Date,Open,High,Low,Close,Adj Close,Volume,RSI,MACD,Bollinger Band Signal
2021-02-09,123.410004,123.489998,122.360001,123.239998,122.57695,1988300,50.67609839805077,Down,Inbetween Bollingers Band
2021-02-10,124.589996,125.739998,123.879997,125.080002,124.407051,1112600,60.904405893162455,Down,Inbetween Bollingers Band
2021-02-11,125.699997,127.260002,125.110001,126.959999,126.276939,1122200,68.65309657676168,UP,Inbetween Bollingers Band
2021-02-12,126.93,128.600006,126.32,127.980003,127.291451,1278000,72.14735724642938,UP,Inbetween Bollingers Band
2021-02-16,129.309998,131.080002,127.849998,127.949997,127.261612,2132500,71.872443201334,UP,Inbetween Bollingers Band
2021-02-17,132.800003,136.979996,129.589996,130.119995,129.419937,4214700,78.71632482621688,UP,Above Upper  Band
2021-02-18,129.0,130.389999,127.580002,127.68,126.993065,1941400,59.67026098812484,UP,Inbetween Bollingers Band
2021-02-19,128.410004,128.899994,126.489998,126.870003,126.187424,1263900,54.557705849617804,UP,Inbetween Bollingers Band
2021-02-22,125.949997,126.160004,123.089996,123.5,122.835548,1340100,38.532583099826205,Down,Inbetween Bollingers Band
2021-02-23,123.510002,123.510002,120.410004,122.419998,121.76136,2125400,34.71964556822316,Down,Inbetween Bollingers Band
2021-02-24,122.260002,125.410004,122.010002,125.019997,124.347374,1898400,48.91694631704563,Down,Inbetween Bollingers Band
2021-02-25,124.809998,125.25,121.93,122.099998,121.443085,1430900,38.068942304245724,Down,Inbetween Bollingers Band
2021-02-26,122.93,123.510002,120.650002,122.07,121.413246,1909700,37.96801709935278,Down,Inbetween Bollingers Band
2021-03-01,123.050003,125.150002,122.879997,124.480003,123.81028,1404400,50.313405999657924,Down,Inbetween Bollingers Band
2021-03-02,124.57,125.889999,123.169998,123.639999,122.974792,1267300,46.54646653029684,Down,Inbetween Bollingers Band
2021-03-03,122.779999,122.779999,119.25,119.300003,118.658157,1612400,32.07245237166303,Down,Inbetween Bollingers Band
2021-03-04,118.690002,118.830002,113.339996,114.989998,114.37133,2725000,23.577837918835826,Down,Below Lower band
2021-03-05,115.879997,116.190002,112.470001,116.139999,115.515152,2441500,29.398776393597544,Down,Inbetween Bollingers Band
2021-03-08,116.309998,118.959999,115.269997,116.080002,115.455482,2766600,29.263120487594733,Down,Inbetween Bollingers Band
2021-03-09,117.870003,121.389999,117.540001,119.839996,119.195244,2291100,47.108630970456666,Down,Inbetween Bollingers Band
2021-03-10,120.589996,122.209999,119.690002,119.989998,119.344429,1934600,47.72243035894893,Down,Inbetween Bollingers Band
2021-03-11,121.419998,122.919998,120.900002,121.830002,121.174545,1818700,55.16847159707708,Down,Inbetween Bollingers Band
2021-03-12,120.57,122.029999,119.279999,121.440002,120.786636,1368700,53.29146526799982,Down,Inbetween Bollingers Band
2021-03-15,120.919998,124.279999,120.339996,124.040001,123.37265,1230000,63.06516074454574,UP,Inbetween Bollingers Band
2021-03-16,124.75,125.309998,122.449997,123.0,122.338234,1345500,57.45469128404227,UP,Inbetween Bollingers Band
2021-03-17,122.339996,123.110001,121.5,122.519997,121.860825,1453000,54.82831610248944,UP,Inbetween Bollingers Band
2021-03-18,123.599998,123.940002,122.129997,122.589996,121.93045,2067500,55.17693762166003,UP,Inbetween Bollingers Band
2021-03-19,122.870003,123.5,121.510002,122.690002,122.029922,2597000,55.74621090704148,UP,Inbetween Bollingers Band
2021-03-22,122.169998,123.830002,121.720001,123.610001,122.944962,1772900,61.054586214396345,UP,Inbetween Bollingers Band
2021-03-23,123.150002,124.230003,121.470001,121.980003,121.32373,1338300,48.92392826484794,UP,Inbetween Bollingers Band
2021-03-24,122.120003,122.959999,120.739998,120.839996,120.189857,1477500,42.098921703233586,UP,Inbetween Bollingers Band
2021-03-25,120.860001,122.330002,119.879997,121.900002,121.244164,967300,49.70949259454105,UP,Inbetween Bollingers Band
2021-03-26,122.540001,125.709999,122.029999,125.639999,124.964043,1441900,67.3661214970086,UP,Inbetween Bollingers Band
2021-03-29,124.879997,125.82,123.739998,125.419998,124.745224,1539700,65.7811329579068,UP,Inbetween Bollingers Band
2021-03-30,124.610001,125.699997,124.410004,124.839996,124.168343,1033700,61.34207285238362,UP,Inbetween Bollingers Band
2021-03-31,125.949997,128.479996,125.949997,127.139999,126.455963,1815500,70.53962705316326,UP,Inbetween Bollingers Band
2021-04-01,128.0,128.300003,127.010002,127.690002,127.003014,1126400,72.37342530926914,UP,Inbetween Bollingers Band
2021-04-05,129.0,130.610001,129.0,130.0,129.497314,1096300,79.24556394513117,UP,Above Upper  Band
2021-04-06,130.570007,131.860001,129.869995,131.039993,130.53331,1623200,81.47813718604066,UP,Above Upper  Band
2021-04-07,130.25,130.570007,128.529999,129.339996,128.839874,954600,67.60880535358436,UP,Inbetween Bollingers Band
